WeekID,Week Position,Song,Performer,SongID
2017-04-22,1,Shape Of You,Ed Sheeran,Shape Of YouEd Sheeran
2017-04-29,1,Shape Of You,Ed Sheeran,Shape Of YouEd Sheeran
2017-05-06,1,Humble.,Kendrick Lamar,Humble.Kendrick Lamar
2017-05-13,1,That's What I Like,Bruno Mars,That's What I LikeBruno Mars
2017-05-20,1,I'm The One,"DJ Khaled Featuring Justin Bieber, Quavo, Chance The Rapper & Lil Wayne","I'm The OneDJ Khaled Featuring Justin Bieber, Quavo, Chance The Rapper & Lil Wayne"
2017-05-27,1,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,DespacitoLuis Fonsi & Daddy Yankee Featuring Justin Bieber
2017-06-03,1,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,DespacitoLuis Fonsi & Daddy Yankee Featuring Justin Bieber
2017-06-10,1,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,DespacitoLuis Fonsi & Daddy Yankee Featuring Justin Bieber
2017-06-17,1,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,DespacitoLuis Fonsi & Daddy Yankee Featuring Justin Bieber
2017-06-24,1,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,DespacitoLuis Fonsi & Daddy Yankee Featuring Justin Bieber
2017-07-01,1,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,DespacitoLuis Fonsi & Daddy Yankee Featuring Justin Bieber
